arm,checkpoint,scope,own,common,diff,ci_lo,ci_hi,p,p_method,n_groups
gemma3_4b__production,simulator,unfamiliar,0.5476190476190477,0.6666666666666666,0.11904761904761904,0.023809523809523808,0.21428571428571427,0.0625,exact,42
gemma3_4b__production,simulator_calibrated,unfamiliar,0.6825396825396826,0.6825396825396826,0.0,-0.023809523809523808,0.023809523809523808,1.0,exact,42
gemma3_4b__production,turbofan,unfamiliar,0.7857142857142857,0.7142857142857143,-0.07142857142857142,-0.16666666666666666,0.0,0.25,exact,42
gpt_oss_120b__production,simulator,unfamiliar,0.746031746031746,0.8571428571428571,0.11111111111111109,0.023809523809523808,0.21428571428571427,0.0625,exact,42
gpt_oss_120b__production,simulator_calibrated,unfamiliar,0.8571428571428571,0.8492063492063492,-0.007936507936507936,-0.03968253968253968,0.015873015873015872,1.0,exact,42
gpt_oss_120b__production,turbofan,unfamiliar,0.8412698412698413,0.8650793650793651,0.023809523809523808,0.0,0.07142857142857142,1.0,exact,42
gpt_oss_120b__semantic,simulator,unfamiliar,0.8095238095238095,0.9206349206349206,0.11111111111111109,0.023809523809523808,0.21428571428571427,0.0625,exact,42
gpt_oss_120b__semantic,simulator_calibrated,unfamiliar,0.9444444444444444,0.9365079365079365,-0.007936507936507936,-0.023809523809523808,0.0,1.0,exact,42
gpt_oss_120b__semantic,turbofan,unfamiliar,0.9047619047619048,0.9285714285714286,0.023809523809523808,0.0,0.07142857142857142,1.0,exact,42
keyword_only,simulator,unfamiliar,0.29365079365079366,0.3333333333333333,0.03968253968253968,0.0,0.10317460317460317,0.5,exact,42
keyword_only,simulator_calibrated,unfamiliar,0.35714285714285715,0.35714285714285715,0.0,0.0,0.0,1.0,exact,42
keyword_only,turbofan,unfamiliar,0.373015873015873,0.38095238095238093,0.007936507936507936,0.0,0.023809523809523808,1.0,exact,42
keyword_regex_extended,simulator,unfamiliar,0.6428571428571429,0.6428571428571429,0.0,0.0,0.0,1.0,exact,42
keyword_regex_extended,simulator_calibrated,unfamiliar,0.626984126984127,0.626984126984127,0.0,0.0,0.0,1.0,exact,42
keyword_regex_extended,turbofan,unfamiliar,0.6190476190476191,0.6190476190476191,0.0,0.0,0.0,1.0,exact,42
keyword_regex_severity,simulator,unfamiliar,0.5714285714285714,0.5714285714285714,0.0,0.0,0.0,1.0,exact,42
keyword_regex_severity,simulator_calibrated,unfamiliar,0.5555555555555556,0.5555555555555556,0.0,0.0,0.0,1.0,exact,42
keyword_regex_severity,turbofan,unfamiliar,0.5714285714285714,0.5714285714285714,0.0,0.0,0.0,1.0,exact,42
llama3_2_3b__production,simulator,unfamiliar,0.8333333333333334,0.9285714285714286,0.09523809523809523,0.023809523809523808,0.19047619047619047,0.125,exact,42
llama3_2_3b__production,simulator_calibrated,unfamiliar,0.9206349206349206,0.9444444444444444,0.023809523809523808,-0.015873015873015872,0.07142857142857142,0.5,exact,42
llama3_2_3b__production,turbofan,unfamiliar,0.9206349206349206,0.9285714285714286,0.007936507936507936,0.0,0.023809523809523808,1.0,exact,42
minilm_finetuned,simulator,unfamiliar,0.6190476190476191,0.6190476190476191,0.0,0.0,0.0,1.0,exact,42
minilm_finetuned,simulator_calibrated,unfamiliar,0.6349206349206349,0.6349206349206349,0.0,0.0,0.0,1.0,exact,42
minilm_finetuned,turbofan,unfamiliar,0.6428571428571429,0.6428571428571429,0.0,0.0,0.0,1.0,exact,42
minilm_finetuned_indomain,simulator,unfamiliar,0.8333333333333334,0.8333333333333334,0.0,0.0,0.0,1.0,exact,42
minilm_finetuned_indomain,simulator_calibrated,unfamiliar,0.8174603174603174,0.8174603174603174,0.0,0.0,0.0,1.0,exact,42
minilm_finetuned_indomain,turbofan,unfamiliar,0.8095238095238095,0.8095238095238095,0.0,0.0,0.0,1.0,exact,42
minilm_logreg,simulator,unfamiliar,0.7857142857142857,0.7857142857142857,0.0,0.0,0.0,1.0,exact,42
minilm_logreg,simulator_calibrated,unfamiliar,0.8015873015873016,0.8015873015873016,0.0,0.0,0.0,1.0,exact,42
minilm_logreg,turbofan,unfamiliar,0.7857142857142857,0.7857142857142857,0.0,0.0,0.0,1.0,exact,42
minilm_logreg_indomain,simulator,unfamiliar,0.8571428571428571,0.8571428571428571,0.0,0.0,0.0,1.0,exact,42
minilm_logreg_indomain,simulator_calibrated,unfamiliar,0.8492063492063492,0.8492063492063492,0.0,0.0,0.0,1.0,exact,42
minilm_logreg_indomain,turbofan,unfamiliar,0.8333333333333334,0.8333333333333334,0.0,0.0,0.0,1.0,exact,42
qwen3_4b__production,simulator,unfamiliar,0.7857142857142857,0.8571428571428571,0.07142857142857142,0.0,0.16666666666666666,0.25,exact,42
qwen3_4b__production,simulator_calibrated,unfamiliar,0.8015873015873016,0.873015873015873,0.07142857142857142,0.007936507936507936,0.1507936507936508,0.125,exact,42
qwen3_4b__production,turbofan,unfamiliar,0.8571428571428571,0.8571428571428571,0.0,0.0,0.0,1.0,exact,42
qwen3_8_27b__production,simulator,unfamiliar,0.8809523809523809,0.9761904761904762,0.09523809523809523,0.023809523809523808,0.19047619047619047,0.125,exact,42
qwen3_8_27b__production,simulator_calibrated,unfamiliar,1.0,0.9920634920634921,-0.007936507936507936,-0.023809523809523808,0.0,1.0,exact,42
qwen3_8_27b__production,turbofan,unfamiliar,0.9761904761904762,0.9761904761904762,0.0,0.0,0.0,1.0,exact,42
qwen3_8_27b__semantic,simulator,unfamiliar,0.8571428571428571,0.9761904761904762,0.11904761904761904,0.023809523809523808,0.21428571428571427,0.0625,exact,42
qwen3_8_27b__semantic,simulator_calibrated,unfamiliar,1.0,1.0,0.0,0.0,0.0,1.0,exact,42
qwen3_8_27b__semantic,turbofan,unfamiliar,0.9761904761904762,0.9761904761904762,0.0,0.0,0.0,1.0,exact,42
tfidf_logreg,simulator,unfamiliar,0.6428571428571429,0.6428571428571429,0.0,0.0,0.0,1.0,exact,42
tfidf_logreg,simulator_calibrated,unfamiliar,0.6349206349206349,0.6349206349206349,0.0,0.0,0.0,1.0,exact,42
tfidf_logreg,turbofan,unfamiliar,0.6428571428571429,0.6428571428571429,0.0,0.0,0.0,1.0,exact,42
tfidf_logreg_indomain,simulator,unfamiliar,0.8095238095238095,0.8095238095238095,0.0,0.0,0.0,1.0,exact,42
tfidf_logreg_indomain,simulator_calibrated,unfamiliar,0.7936507936507936,0.7936507936507936,0.0,0.0,0.0,1.0,exact,42
tfidf_logreg_indomain,turbofan,unfamiliar,0.8095238095238095,0.8095238095238095,0.0,0.0,0.0,1.0,exact,42
